Region,District,Local Government,Locality,Postcode,SA1,Electors,LG Sort Name,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105713,205,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105715,337,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105716,312,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105717,280,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105718,309,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105719,280,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105720,329,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105721,187,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105722,224,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105723,362,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105724,365,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105725,319,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105727,370,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105728,173,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105729,403,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105730,263,Swan,
East Metropolitan,West Swan,City of Swan,West Swan,6055,5105731,114,Swan,
East Metropolitan,West Swan,City of Swan,West Swan,6055,5105732,262,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105733,87,Swan,
East Metropolitan,West Swan,City of Swan,Dayton,6055,5105733,1985,Swan,
East Metropolitan,West Swan,City of Swan,West Swan,6055,5105733,53,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105734,203,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105735,222,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105736,178,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105737,230,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105738,331,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105739,267,Swan,
East Metropolitan,West Swan,City of Swan,Bennett Springs,6063,5105740,307,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5105741,219,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105801,19,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105802,260,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105803,459,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105804,468,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105805,149,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105806,87,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105807,127,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105808,299,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105809,518,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105810,313,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105811,300,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105812,192,Swan,
East Metropolitan,Swan Hills,City of Swan,Bullsbrook,6084,5105813,327,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105902,560,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105905,191,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105906,211,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105909,276,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105910,324,Swan,
East Metropolitan,Swan Hills,City of Swan,Henley Brook,6055,5105911,5,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105911,98,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105912,213,Swan,
East Metropolitan,West Swan,City of Swan,Brabham,6055,5105913,2995,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105913,197,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105914,217,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105915,282,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105916,202,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105917,213,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105918,216,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105919,181,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105920,311,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105921,191,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105922,234,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105923,233,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105924,379,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105925,199,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105926,305,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105927,177,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105928,100,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105929,148,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105930,185,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105932,228,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105933,302,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105934,234,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105935,505,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105936,146,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105938,264,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105939,186,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105940,354,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105941,290,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105942,232,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105943,245,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105944,217,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105945,250,Swan,
East Metropolitan,West Swan,City of Swan,Henley Brook,6055,5105946,272,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105947,119,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105948,186,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105949,346,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105952,197,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105953,269,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105954,228,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105955,148,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105956,305,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105957,183,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105959,306,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105960,116,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105961,345,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105962,391,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105963,313,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105964,187,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105965,37,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105965,234,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105966,171,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105967,354,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105968,268,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105969,213,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105970,436,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105971,242,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105972,263,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105973,176,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105974,398,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105976,133,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105977,840,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105978,237,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105979,114,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105980,202,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105981,281,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105982,344,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105983,242,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105984,244,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105985,190,Swan,
East Metropolitan,Swan Hills,City of Swan,Aveley,6069,5105986,266,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5105987,741,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106001,194,Swan,
East Metropolitan,West Swan,City of Swan,Baskerville,6056,5106001,11,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106002,268,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106003,191,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106004,248,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106005,403,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106006,245,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106007,255,Swan,
East Metropolitan,Swan Hills,City of Swan,Gidgegannup,6083,5106008,253,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106102,482,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106103,2,Swan,
East Metropolitan,Belmont,City of Swan,Hazelmere,6055,5106104,58,Swan,
East Metropolitan,Midland,City of Swan,Bushmead,6055,5106104,66,Swan,
East Metropolitan,Midland,City of Swan,Hazelmere,6055,5106104,140,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106105,406,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106106,37,Swan,
East Metropolitan,Belmont,City of Swan,Hazelmere,6055,5106108,300,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106109,698,Swan,
East Metropolitan,Belmont,City of Swan,Hazelmere,6055,5106110,170,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106111,198,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106112,275,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106113,263,Swan,
East Metropolitan,Belmont,City of Swan,South Guildford,6055,5106114,2,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106201,184,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106202,590,Swan,
East Metropolitan,Midland,City of Swan,West Swan,6055,5106202,12,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106203,242,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106204,264,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106205,278,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106206,171,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106207,1830,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106208,204,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106209,297,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106210,178,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106211,209,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106212,274,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106213,236,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5106214,22,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106214,150,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5106215,23,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106215,386,Swan,
East Metropolitan,Bassendean,City of Swan,Kiara,6054,5106216,405,Swan,
East Metropolitan,Bassendean,City of Swan,Kiara,6054,5106217,460,Swan,
East Metropolitan,Bassendean,City of Swan,Beechboro,6063,5106218,35,Swan,
East Metropolitan,Bassendean,City of Swan,Lockridge,6054,5106218,254,Swan,
East Metropolitan,Midland,City of Swan,Caversham,6055,5106219,186,Swan,
East Metropolitan,Bassendean,City of Swan,Kiara,6054,5106220,402,Swan,
East Metropolitan,West Swan,City of Swan,Malaga,6090,5106301,5,Swan,
East Metropolitan,Swan Hills,City of Swan,Melaleuca,6079,5106401,2,Swan,
East Metropolitan,Midland,City of Swan,Middle Swan,6056,5106501,11,Swan,
East Metropolitan,West Swan,City of Swan,Herne Hill,6056,5106502,272,Swan,
East Metropolitan,West Swan,City of Swan,Herne Hill,6056,5106503,261,Swan,
East Metropolitan,West Swan,City of Swan,Herne Hill,6056,5106504,213,Swan,
East Metropolitan,West Swan,City of Swan,Herne Hill,6056,5106505,438,Swan,
East Metropolitan,West Swan,City of Swan,Middle Swan,6056,5106506,242,Swan,
East Metropolitan,Midland,City of Swan,Viveash,6056,5106507,270,Swan,
East Metropolitan,Midland,City of Swan,Viveash,6056,5106508,478,Swan,
East Metropolitan,Midland,City of Swan,Middle Swan,6056,5106509,256,Swan,
East Metropolitan,West Swan,City of Swan,Middle Swan,6056,5106510,66,Swan,
East Metropolitan,Midland,City of Swan,Middle Swan,6056,5106511,264,Swan,
East Metropolitan,Midland,City of Swan,Middle Swan,6056,5106512,341,Swan,
East Metropolitan,Midland,City of Swan,Middle Swan,6056,5106513,478,Swan,
East Metropolitan,Midland,City of Swan,Middle Swan,6056,5106514,192,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106601,235,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106602,203,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106603,337,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106604,330,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106605,341,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106606,287,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106607,372,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106608,465,Swan,
East Metropolitan,Midland,City of Swan,Midvale,6056,5106608,38,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106609,416,Swan,
East Metropolitan,Midland,City of Swan,Guildford,6055,5106610,124,Swan,
East Metropolitan,Midland,City of Swan,Guildford,6055,5106611,178,Swan,
East Metropolitan,Midland,City of Swan,Guildford,6055,5106615,486,Swan,
East Metropolitan,Midland,City of Swan,Guildford,6055,5106616,226,Swan,
East Metropolitan,Midland,City of Swan,Bellevue,6056,5106617,24,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106617,74,Swan,
East Metropolitan,Midland,City of Swan,Woodbridge,6056,5106617,31,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106618,108,Swan,
East Metropolitan,Midland,City of Swan,Woodbridge,6056,5106619,357,Swan,
East Metropolitan,Midland,City of Swan,Midland,6056,5106620,305,Swan,
East Metropolitan,Midland,City of Swan,Woodbridge,6056,5106621,497,Swan,
East Metropolitan,Midland,City of Swan,Guildford,6055,5106622,292,Swan,
East Metropolitan,Midland,City of Swan,Bellevue,6056,5106624,178,Swan,
East Metropolitan,Midland,City of Swan,Bellevue,6056,5106625,187,Swan,
East Metropolitan,Midland,Shire of Mundaring,Bellevue,6056,5106626,206,Mundaring,
East Metropolitan,Midland,Shire of Mundaring,Bellevue,6056,5106627,237,Mundaring,
East Metropolitan,Midland,City of Swan,Bellevue,6056,5106628,213,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106701,367,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106702,210,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106703,190,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106704,322,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106705,281,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106706,214,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106707,151,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106708,280,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106709,301,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106710,402,Swan,
East Metropolitan,Midland,City of Swan,Red Hill,6056,5106710,63,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106711,223,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106712,199,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106713,250,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106714,188,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106715,269,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106716,393,Swan,
East Metropolitan,Midland,City of Swan,Jane Brook,6056,5106717,164,Swan,
East Metropolitan,Midland,City of Swan,Stratton,6056,5106720,150,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106801,186,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106802,201,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106803,196,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106804,332,Swan,
East Metropolitan,West Swan,City of Swan,Millendon,6056,5106807,408,Swan,
East Metropolitan,West Swan,City of Swan,Baskerville,6056,5106808,241,Swan,
East Metropolitan,Swan Hills,City of Swan,Brigadoon,6069,5106809,660,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106810,266,Swan,
East Metropolitan,Swan Hills,City of Swan,Upper Swan,6069,5106810,144,Swan,
East Metropolitan,West Swan,City of Swan,Upper Swan,6069,5106810,8,Swan,
East Metropolitan,Swan Hills,City of Swan,Upper Swan,6069,5106811,306,Swan,
East Metropolitan,Swan Hills,City of Swan,Belhus,6069,5106812,192,Swan,
East Metropolitan,West Swan,City of Swan,Belhus,6069,5106812,17,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106813,348,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106814,331,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106815,264,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5106816,1095,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106816,8,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106817,39,Swan,
East Metropolitan,Swan Hills,City of Swan,Ellenbrook,6069,5106818,638,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106818,30,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106819,461,Swan,
East Metropolitan,Swan Hills,City of Swan,The Vines,6069,5106820,758,Swan,
East Metropolitan,Swan Hills,City of Swan,Walyunga National Park,6084,5106901,1,Swan,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107001,147,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107002,297,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107003,198,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107004,343,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107005,332,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107006,288,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107007,377,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107008,576,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107009,242,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107010,203,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107011,244,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107012,273,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107013,220,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107014,435,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Beldon,6027,5107015,407,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107016,376,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107017,331,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107018,415,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107019,204,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107020,325,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107021,271,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Craigie,6025,5107022,277,Joondalup,
North Metropolitan,Hillarys,City of Joondalup,Beldon,6027,5107024,159,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107101,296,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107102,252,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107103,271,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107104,198,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107105,363,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107106,107,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107107,295,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107108,223,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107109,154,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107110,315,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107111,203,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107112,238,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107113,317,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107114,310,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107115,212,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107116,390,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107117,297,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107118,420,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107119,256,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107120,265,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107121,194,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107122,267,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107123,347,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Kinross,6028,5107124,370,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107126,319,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107127,262,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107128,234,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107129,273,Joondalup,
North Metropolitan,Burns Beach,City of Joondalup,Currambine,6028,5107130,201,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107131,168,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107132,303,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107133,122,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107134,345,Joondalup,
North Metropolitan,Joondalup,City of Joondalup,Currambine,6028,5107135,364,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107201,167,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107202,155,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107203,183,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107204,416,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107205,480,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107206,416,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107207,336,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107208,281,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107209,286,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107210,301,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107211,158,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107212,330,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107213,441,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107214,428,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107215,497,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107216,470,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107217,364,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107218,293,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107219,361,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107220,360,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107221,139,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107222,204,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107223,386,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107224,397,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107225,278,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107226,358,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107227,328,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107228,414,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107229,207,Joondalup,
North Metropolitan,Carine,City of Joondalup,Duncraig,6023,5107230,205,Joondalup,
